,0
yesterday_drybulb_mean,21.7
yesterday_drybulb_max,23.0
yesterday_drybulb_min,20.2
yesterday_drybulb_max_time,17:09
yesterday_drybulb_min_time,09:25
yesterday_rh_mean,56
yesterday_rh_max,59
yesterday_rh_min,55
yesterday_rh_max_time,16:00
yesterday_rh_min_time,16:01
yesterday_vpd_mean,1.13
yesterday_vpd_max,1.23
yesterday_vpd_min,1.03
yesterday_vpd_max_time,19:52
yesterday_vpd_min_time,11:00
yesterday_lux_mean,377.76304347826084
yesterday_lux_max,707.1
yesterday_lux_min,n/a
yesterday_lux_max_time,14:00
yesterday_lux_min_time,n/a
